,support,itemsets
0,0.05555555555555555,frozenset({'FUR-BO-10002824'})
1,0.05555555555555555,frozenset({'FUR-BO-10004467'})
2,0.05555555555555555,frozenset({'FUR-FU-10001290'})
3,0.05555555555555555,frozenset({'FUR-FU-10001876'})
4,0.05555555555555555,frozenset({'FUR-FU-10002505'})
5,0.05555555555555555,frozenset({'FUR-FU-10003731'})
6,0.05555555555555555,frozenset({'FUR-FU-10004017'})
7,0.05555555555555555,frozenset({'FUR-TA-10001705'})
8,0.05555555555555555,frozenset({'FUR-TA-10003473'})
9,0.05555555555555555,frozenset({'OFF-AP-10002287'})
10,0.05555555555555555,frozenset({'OFF-AP-10003040'})
11,0.05555555555555555,frozenset({'OFF-AP-10003622'})
12,0.05555555555555555,frozenset({'OFF-AP-10004532'})
13,0.05555555555555555,frozenset({'OFF-AR-10003183'})
14,0.05555555555555555,frozenset({'OFF-BI-10001116'})
15,0.05555555555555555,frozenset({'OFF-BI-10001679'})
16,0.05555555555555555,frozenset({'OFF-BI-10002432'})
17,0.05555555555555555,frozenset({'OFF-FA-10000611'})
18,0.05555555555555555,frozenset({'OFF-LA-10000081'})
19,0.05555555555555555,frozenset({'OFF-PA-10000474'})
20,0.05555555555555555,frozenset({'OFF-PA-10000809'})
21,0.05555555555555555,frozenset({'OFF-PA-10002137'})
22,0.05555555555555555,frozenset({'OFF-PA-10003848'})
23,0.05555555555555555,frozenset({'OFF-PA-10004100'})
24,0.05555555555555555,frozenset({'OFF-PA-10004569'})
25,0.05555555555555555,frozenset({'OFF-ST-10000563'})
26,0.05555555555555555,frozenset({'OFF-ST-10002554'})
27,0.05555555555555555,frozenset({'OFF-ST-10003442'})
28,0.05555555555555555,frozenset({'OFF-SU-10000432'})
29,0.05555555555555555,frozenset({'OFF-SU-10000898'})
30,0.05555555555555555,frozenset({'OFF-SU-10002537'})
31,0.05555555555555555,frozenset({'TEC-AC-10001465'})
32,0.05555555555555555,frozenset({'TEC-AC-10002637'})
33,0.05555555555555555,frozenset({'TEC-AC-10002942'})
34,1.0,frozenset({'TEC-AC-10003832'})
35,0.05555555555555555,frozenset({'TEC-MA-10003589'})
36,0.05555555555555555,frozenset({'TEC-PH-10000441'})
37,0.05555555555555555,frozenset({'TEC-PH-10003555'})
38,0.05555555555555555,"frozenset({'OFF-AP-10002287', 'FUR-BO-10002824'})"
39,0.05555555555555555,"frozenset({'OFF-AP-10003622', 'FUR-BO-10002824'})"
40,0.05555555555555555,"frozenset({'OFF-BI-10002432', 'FUR-BO-10002824'})"
41,0.05555555555555555,"frozenset({'OFF-PA-10000809', 'FUR-BO-10002824'})"
42,0.05555555555555555,"frozenset({'TEC-AC-10002942', 'FUR-BO-10002824'})"
43,0.05555555555555555,"frozenset({'TEC-AC-10003832', 'FUR-BO-10002824'})"
44,0.05555555555555555,"frozenset({'TEC-PH-10000441', 'FUR-BO-10002824'})"
45,0.05555555555555555,"frozenset({'OFF-AR-10003183', 'FUR-BO-10004467'})"
46,0.05555555555555555,"frozenset({'OFF-PA-10004100', 'FUR-BO-10004467'})"
47,0.05555555555555555,"frozenset({'OFF-SU-10000432', 'FUR-BO-10004467'})"
48,0.05555555555555555,"frozenset({'TEC-AC-10003832', 'FUR-BO-10004467'})"
49,0.05555555555555555,"frozenset({'FUR-FU-10001290', 'OFF-PA-10003848'})"
50,0.05555555555555555,"frozenset({'FUR-FU-10001290', 'TEC-AC-10003832'})"
51,0.05555555555555555,"frozenset({'FUR-FU-10001876', 'OFF-LA-10000081'})"
52,0.05555555555555555,"frozenset({'OFF-ST-10002554', 'FUR-FU-10001876'})"
53,0.05555555555555555,"frozenset({'TEC-AC-10002637', 'FUR-FU-10001876'})"
54,0.05555555555555555,"frozenset({'FUR-FU-10001876', 'TEC-AC-10003832'})"
55,0.05555555555555555,"frozenset({'TEC-MA-10003589', 'FUR-FU-10001876'})"
56,0.05555555555555555,"frozenset({'FUR-FU-10002505', 'OFF-SU-10002537'})"
57,0.05555555555555555,"frozenset({'FUR-FU-10002505', 'TEC-AC-10003832'})"
58,0.05555555555555555,"frozenset({'FUR-FU-10003731', 'TEC-AC-10001465'})"
59,0.05555555555555555,"frozenset({'TEC-AC-10003832', 'FUR-FU-10003731'})"
60,0.05555555555555555,"frozenset({'FUR-FU-10004017', 'FUR-TA-10001705'})"
61,0.05555555555555555,"frozenset({'FUR-TA-10003473', 'FUR-FU-10004017'})"
