support	itemsets
0.021739130434782608	frozenset({'FUR-AZ-10004270'})
0.021739130434782608	frozenset({'FUR-CH-10001190'})
0.043478260869565216	frozenset({'FUR-CH-10002073'})
0.021739130434782608	frozenset({'FUR-CH-10002372'})
0.021739130434782608	frozenset({'FUR-CH-10003833'})
0.021739130434782608	frozenset({'FUR-FU-10000206'})
0.021739130434782608	frozenset({'FUR-FU-10001986'})
0.021739130434782608	frozenset({'FUR-FU-10003268'})
0.021739130434782608	frozenset({'FUR-FU-10003799'})
0.021739130434782608	frozenset({'FUR-FU-10004666'})
0.043478260869565216	frozenset({'FUR-TA-10001039'})
0.021739130434782608	frozenset({'FUR-TA-10001307'})
0.021739130434782608	frozenset({'FUR-TA-10002645'})
0.021739130434782608	frozenset({'OFF-AP-10000696'})
0.021739130434782608	frozenset({'OFF-AP-10001563'})
0.021739130434782608	frozenset({'OFF-AP-10002350'})
0.021739130434782608	frozenset({'OFF-AP-10003849'})
0.021739130434782608	frozenset({'OFF-AP-10004052'})
0.021739130434782608	frozenset({'OFF-AP-10004249'})
0.021739130434782608	frozenset({'OFF-AP-10004708'})
0.021739130434782608	frozenset({'OFF-AR-10000122'})
0.021739130434782608	frozenset({'OFF-AR-10000634'})
0.021739130434782608	frozenset({'OFF-AR-10000657'})
0.021739130434782608	frozenset({'OFF-AR-10001374'})
0.021739130434782608	frozenset({'OFF-AR-10001419'})
0.021739130434782608	frozenset({'OFF-AR-10001953'})
0.021739130434782608	frozenset({'OFF-AR-10003183'})
0.021739130434782608	frozenset({'OFF-AR-10003481'})
0.021739130434782608	frozenset({'OFF-AR-10004685'})
0.021739130434782608	frozenset({'OFF-AY-10000477'})
0.021739130434782608	frozenset({'OFF-AY-10002377'})
0.021739130434782608	frozenset({'OFF-BI-10000174'})
0.021739130434782608	frozenset({'OFF-BI-10000632'})
0.021739130434782608	frozenset({'OFF-BI-10001308'})
0.021739130434782608	frozenset({'OFF-BI-10001359'})
0.021739130434782608	frozenset({'OFF-BI-10002012'})
0.021739130434782608	frozenset({'OFF-BI-10002353'})
0.021739130434782608	frozenset({'OFF-BI-10002437'})
0.021739130434782608	frozenset({'OFF-BI-10002571'})
0.021739130434782608	frozenset({'OFF-BI-10002609'})
0.021739130434782608	frozenset({'OFF-BI-10002854'})
0.021739130434782608	frozenset({'OFF-BI-10003350'})
0.021739130434782608	frozenset({'OFF-BI-10003656'})
0.021739130434782608	frozenset({'OFF-BI-10003676'})
0.021739130434782608	frozenset({'OFF-BI-10004209'})
0.021739130434782608	frozenset({'OFF-BI-10004519'})
0.021739130434782608	frozenset({'OFF-EN-10003798'})
0.021739130434782608	frozenset({'OFF-EN-10003845'})
0.021739130434782608	frozenset({'OFF-EN-10004483'})
0.021739130434782608	frozenset({'OFF-EN-10004846'})
1.0	frozenset({'OFF-FA-10003485'})
0.021739130434782608	frozenset({'OFF-LA-10001771'})
0.021739130434782608	frozenset({'OFF-PA-10000675'})
0.021739130434782608	frozenset({'OFF-PA-10000726'})
0.021739130434782608	frozenset({'OFF-PA-10000809'})
0.021739130434782608	frozenset({'OFF-PA-10001804'})
0.021739130434782608	frozenset({'OFF-PA-10001838'})
0.021739130434782608	frozenset({'OFF-PA-10001870'})
0.021739130434782608	frozenset({'OFF-PA-10002005'})
0.021739130434782608	frozenset({'OFF-PA-10002036'})
0.021739130434782608	frozenset({'OFF-PA-10002120'})
0.021739130434782608	frozenset({'OFF-PA-10002666'})
0.021739130434782608	frozenset({'OFF-PA-10004675'})
0.021739130434782608	frozenset({'OFF-PA-10004735'})
0.021739130434782608	frozenset({'OFF-ST-10000419'})
0.021739130434782608	frozenset({'OFF-ST-10000642'})
0.021739130434782608	frozenset({'OFF-ST-10000760'})
0.021739130434782608	frozenset({'OFF-ST-10001963'})
0.021739130434782608	frozenset({'OFF-ST-10002301'})
0.021739130434782608	frozenset({'OFF-ST-10002486'})
0.021739130434782608	frozenset({'OFF-ST-10003208'})
0.021739130434782608	frozenset({'OFF-ST-10003816'})
0.021739130434782608	frozenset({'OFF-ST-10003996'})
0.021739130434782608	frozenset({'OFF-ST-10004507'})
0.021739130434782608	frozenset({'OFF-SU-10003567'})
0.021739130434782608	frozenset({'OFF-SU-10004231'})
0.021739130434782608	frozenset({'OFF-SU-10004884'})
0.021739130434782608	frozenset({'TEC-AC-10002473'})
0.021739130434782608	frozenset({'TEC-AC-10003038'})
0.021739130434782608	frozenset({'TEC-AC-10003116'})
0.021739130434782608	frozenset({'TEC-AC-10003709'})
0.021739130434782608	frozenset({'TEC-AC-10004568'})
0.021739130434782608	frozenset({'TEC-AC-10004877'})
0.021739130434782608	frozenset({'TEC-CO-10004202'})
0.021739130434782608	frozenset({'TEC-MA-10002412'})
