,Order_ID,Order_Date,Customer_ID,State,Product_ID,Product_Name,Quantity,Price
0,CA-2016-152156,2016-11-08,CG-12520,Kentucky,FUR-BO-10001798,Bush Somerset Collection Bookcase,2,130.98
1,CA-2016-152156,2016-11-08,CG-12520,Kentucky,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3,243.98000000000002
2,CA-2016-138688,2016-06-12,DV-13045,California,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,2,7.31
3,US-2015-108966,2015-10-11,SO-20335,Florida,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,5,191.5155
4,US-2015-108966,2015-10-11,SO-20335,Florida,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,2,11.184
5,CA-2014-115812,2014-06-09,BH-11710,California,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",7,6.9799999999999995
6,CA-2014-115812,2014-06-09,BH-11710,California,OFF-AR-10002833,Newell 322,4,1.82
7,CA-2014-115812,2014-06-09,BH-11710,California,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,6,151.192
8,CA-2014-115812,2014-06-09,BH-11710,California,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,3,6.168
9,CA-2014-115812,2014-06-09,BH-11710,California,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,5,22.98
10,CA-2014-115812,2014-06-09,BH-11710,California,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,9,189.576
11,CA-2014-115812,2014-06-09,BH-11710,California,TEC-PH-10002033,Konftel 250 Conference�phone�- Charcoal black,4,227.856
12,CA-2017-114412,2017-04-15,AA-10480,North Carolina,OFF-PA-10002365,Xerox 1967,3,5.184
13,CA-2016-161389,2016-12-05,IM-15070,Washington,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,3,135.992
14,US-2015-118983,2015-11-22,HP-14815,Texas,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",5,13.762
15,US-2015-118983,2015-11-22,HP-14815,Texas,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,3,0.848
16,CA-2014-105893,2014-11-11,PK-19075,Wisconsin,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",6,110.98
17,CA-2014-167164,2014-05-13,AG-10270,Utah,OFF-ST-10000107,Fellowes Super Stor/Drawer,2,27.75
18,CA-2014-143336,2014-08-27,ZD-21925,California,OFF-AR-10003056,Newell 341,2,4.28
19,CA-2014-143336,2014-08-27,ZD-21925,California,TEC-PH-10001949,Cisco SPA 501G IP Phone,3,71.16
20,CA-2014-143336,2014-08-27,ZD-21925,California,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",4,5.68
21,CA-2016-137330,2016-12-09,KB-16585,Nebraska,OFF-AR-10000246,Newell 318,7,2.7800000000000002
22,CA-2016-137330,2016-12-09,KB-16585,Nebraska,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",7,8.620000000000001
